"","farmer_num","village","treatment","survey","temp_c","humidity_percent","ground_cover_percent","ose_num","att_mil","yield","datetime","ose_num_adj","att_mil_adj"
"106","14","Gossas","control","s2",29.5,79.5,65,9,NA,NA,2019-09-22 08:22:00,8,NA
"107","14","Gossas","control","s3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","14","Gossas","control","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","14","Gossas","fertilized","s1",33.6,58.3,20,19,NA,NA,2019-09-03 09:45:00,16,NA
"110","14","Gossas","fertilized","s2",29.5,79.5,30,2,NA,NA,2019-09-22 08:17:00,2,NA
"111","14","Gossas","fertilized","s3",30,79,30,11,NA,NA,2019-10-10 09:30:00,9,NA
"112","14","Gossas","fertilized","s4",NA,NA,NA,NA,NA,485,NA,NA,NA
"113","15","Gossas","control","s1",35,55,45,33,0.1,NA,2019-09-03 17:30:00,28,0.085
"114","15","Gossas","control","s2",35.5,56.5,70,57,0.2,NA,2019-09-21 17:55:00,48,0.17
"115","15","Gossas","control","s3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","15","Gossas","control","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","15","Gossas","fertilized","s1",35,55,60,20,NA,NA,2019-09-03 17:30:00,17,NA
"118","15","Gossas","fertilized","s2",35,55,60,20,0.05,NA,2019-09-23 17:30:00,17,0.0425
"119","15","Gossas","fertilized","s3",35.2,66,60,20,NA,NA,2019-10-10 13:39:00,17,NA
"120","15","Gossas","fertilized","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","16","Gossas","control","s1",34,50,40,26,NA,NA,2019-09-03 17:30:00,22,NA
"122","16","Gossas","control","s2",35,61.3,30,2,NA,NA,2019-09-22 10:30:00,2,NA
"123","16","Gossas","control","s3",33.8,67,30,17,NA,NA,2019-10-10 12:21:00,14,NA
"124","16","Gossas","control","s4",NA,NA,NA,NA,NA,219,NA,NA,NA
"125","16","Gossas","fertilized","s1",34,50,35,41,NA,NA,2019-09-03 17:30:00,35,NA
"126","16","Gossas","fertilized","s2",35,61.3,70,3,NA,NA,2019-09-22 10:30:00,3,NA
"127","16","Gossas","fertilized","s3",33.8,67,70,10,NA,NA,2019-10-10 12:30:00,8,NA
"128","16","Gossas","fertilized","s4",NA,NA,NA,NA,NA,1089,NA,NA,NA
"129","17","Gossas","control","s1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","17","Gossas","control","s2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","17","Gossas","control","s3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","17","Gossas","control","s4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","17","Gossas","fertilized","s1",35.7,57.3,45,35,0.05,NA,2019-09-04 11:40:00,30,0.0425
"134","17","Gossas","fertilized","s2",32,69,65,9,NA,NA,2019-09-23 10:20:00,8,NA
"135","17","Gossas","fertilized","s3",33.6,67.8,65,24,0.05,NA,2019-10-10 16:34:00,20,0.0425
