system:index,date,day,location,maximum_2m_air_temperature,mean_2m_air_temperature,minimum_2m_air_temperature,month,total_precipitation,year,.geo
1_20190215,2019-02-15T00:00:00,15.0,Point1,309.42190614966506,301.98378637344695,296.69204610392546,2.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190216,2019-02-16T00:00:00,16.0,Point1,306.6012832636384,300.6432813978249,295.6792958937744,2.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190217,2019-02-17T00:00:00,17.0,Point1,307.97948307292467,299.8695260952113,293.4148111205954,2.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190218,2019-02-18T00:00:00,18.0,Point1,306.61310588908805,298.25740074600105,291.88727646690216,2.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190219,2019-02-19T00:00:00,19.0,Point1,305.95438874020005,298.25128013123003,293.6736686094954,2.0,1.862645149230957E-9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190220,2019-02-20T00:00:00,20.0,Point1,308.615375249901,298.31209585042507,290.15455756318585,2.0,4.0978193283081055E-8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190221,2019-02-21T00:00:00,21.0,Point1,309.00553979389633,299.6855959974032,292.0255616298787,2.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190222,2019-02-22T00:00:00,22.0,Point1,311.09174302834276,301.4156294660524,293.4205030879478,2.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190223,2019-02-23T00:00:00,23.0,Point1,308.8131899676915,301.4781163114871,295.1013366496474,2.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190224,2019-02-24T00:00:00,24.0,Point1,307.48244785019824,300.3445906071442,295.42280983879454,2.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190225,2019-02-25T00:00:00,25.0,Point1,306.9423100628633,298.5147701962414,291.4397377206843,2.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190226,2019-02-26T00:00:00,26.0,Point1,305.95856187552187,297.95688200143707,291.37582056819707,2.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190227,2019-02-27T00:00:00,27.0,Point1,304.8909816998171,297.64568380698995,292.4192084395875,2.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190228,2019-02-28T00:00:00,28.0,Point1,305.20522218717,297.7078181729809,291.2812403189316,2.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190301,2019-03-01T00:00:00,1.0,Point1,304.48331965322143,297.5882039061046,291.8682969707194,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190302,2019-03-02T00:00:00,2.0,Point1,306.0594465516531,297.3271623404327,290.33679825342676,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190303,2019-03-03T00:00:00,3.0,Point1,307.3622368365376,296.94795143791214,288.4829451923558,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190304,2019-03-04T00:00:00,4.0,Point1,308.08158974169794,297.71041262180665,289.38659440775217,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190305,2019-03-05T00:00:00,5.0,Point1,309.8175319298752,298.15098663385237,289.43191011022697,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190306,2019-03-06T00:00:00,6.0,Point1,308.8419698864567,298.9097863822008,291.6986130749869,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190307,2019-03-07T00:00:00,7.0,Point1,309.33816082132483,298.40567072654557,290.39481230957483,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190308,2019-03-08T00:00:00,8.0,Point1,308.6046294070298,298.6986720469159,290.4860806301398,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190309,2019-03-09T00:00:00,9.0,Point1,308.396044925453,299.0296466561477,291.42326067485243,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190310,2019-03-10T00:00:00,10.0,Point1,310.03635595710284,299.43251306756406,291.4499816790177,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190311,2019-03-11T00:00:00,11.0,Point1,311.13639788236065,300.4575044327188,290.92414771504843,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190312,2019-03-12T00:00:00,12.0,Point1,309.7149246631,300.9169802628208,292.97601633955657,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190313,2019-03-13T00:00:00,13.0,Point1,309.4965919791667,301.44843389322807,295.61639732564703,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190314,2019-03-14T00:00:00,14.0,Point1,310.0205615503311,301.29451157003075,294.23768616840744,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190315,2019-03-15T00:00:00,15.0,Point1,310.8936385090947,300.44884846478465,291.8253943110811,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190316,2019-03-16T00:00:00,16.0,Point1,311.5440694341137,300.11135534350143,289.7948160317326,3.0,4.284083843231201E-8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190317,2019-03-17T00:00:00,17.0,Point1,311.40775476958544,300.76708748236837,291.48081138737183,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190318,2019-03-18T00:00:00,18.0,Point1,312.8262650496935,301.6063409629853,292.01591363567434,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190319,2019-03-19T00:00:00,19.0,Point1,312.1012074012714,302.36714021422705,294.85464341431646,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190320,2019-03-20T00:00:00,20.0,Point1,312.5803534406333,302.37285599068696,293.9236817103931,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190321,2019-03-21T00:00:00,21.0,Point1,310.86185673757535,300.4817772312266,291.986364071967,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190322,2019-03-22T00:00:00,22.0,Point1,304.6949828084857,297.94083165160436,292.5304603817048,3.0,1.862645149230957E-9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190323,2019-03-23T00:00:00,23.0,Point1,304.6244031503528,297.5357495948442,291.736108318234,3.0,4.284083843231201E-8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190324,2019-03-24T00:00:00,24.0,Point1,304.9125913040739,296.9549969569781,289.6464316851812,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190325,2019-03-25T00:00:00,25.0,Point1,304.7180978770272,297.3281436629652,290.65642704846516,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190326,2019-03-26T00:00:00,26.0,Point1,304.73408703368204,297.30488785220126,291.3754475056749,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190327,2019-03-27T00:00:00,27.0,Point1,306.08744158681225,298.36677480085206,291.7525685049339,3.0,1.862645149230957E-9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190328,2019-03-28T00:00:00,28.0,Point1,307.03622116902085,299.4285414889867,293.1553914350256,3.0,4.0978193283081055E-8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190329,2019-03-29T00:00:00,29.0,Point1,307.5718837296582,300.3030091137047,294.45465612343946,3.0,1.3907901368768469E-5,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190330,2019-03-30T00:00:00,30.0,Point1,307.6804866845744,300.45375306043405,294.0450510577822,3.0,1.8174304222843404E-4,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190331,2019-03-31T00:00:00,31.0,Point1,309.22159728959184,301.78340718624025,294.473527207756,3.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190401,2019-04-01T00:00:00,1.0,Point1,310.6242335274191,303.2879190322425,296.70412538800605,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190402,2019-04-02T00:00:00,2.0,Point1,309.83548753604333,302.51170280172926,296.2833873261856,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190403,2019-04-03T00:00:00,3.0,Point1,308.43011292586215,300.9732831714849,295.1356844022251,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190404,2019-04-04T00:00:00,4.0,Point1,306.9591936926995,299.867350708145,293.8620230688859,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190405,2019-04-05T00:00:00,5.0,Point1,308.7562318546307,301.54156854310963,294.79169970265445,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190406,2019-04-06T00:00:00,6.0,Point1,310.5138417931064,303.0621455706276,296.47547300412447,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190407,2019-04-07T00:00:00,7.0,Point1,310.90103699657715,304.0361902474437,297.41389250288285,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20190408,2019-04-08T00:00:00,8.0,Point1,312.82638857648953,305.13829749612694,298.94982438327156,4.0,0.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
